gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,cns,dsa,oops,os
,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,,16,2,20
M,KW,,lowerlevel,G-04,A,,F,Father,20,20,3,25
M,KW,KuwaIT,,G-04,A,IT,F,Father,10,7,0,30
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,,25,5,35
,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,40,50,12,50
F,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,42,30,13,70
M,KW,KuwaIT,MiddleSchool,G-07,A,,F,Father,35,12,0,17
M,KW,,MiddleSchool,G-07,A,Math,F,,,,15,22
F,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,12,21,16,50
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,,80,25,70
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50,88,30,80
M,KW,KuwaIT,MiddleSchool,G-07,B,Math,F,Father,19,6,19,12
M,KW,KuwaIT,lowerlevel,,A,IT,F,Father,5,1,0,11
M,lebanon,lebanon,,G-08,A,Math,F,Father,20,14,12,19
F,KW,KuwaIT,MiddleSchool,G-08,A,Math,F,,,70,44,60
F,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,30,40,22,66
,,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,36,30,20,80
M,KW,,MiddleSchool,G-07,A,,F,Father,,13,35,90
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Mum,69,15,36,96
,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Mum,70,50,40,99
F,KW,,MiddleSchool,G-07,A,IT,F,Father,,60,33,90
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,10,12,4,80
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,15,21,2,90
,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,2,0,2,50
M,KW,KuwaIT,MiddleSchool,G-07,B,,F,Father,0,2,3,70
M,KW,,MiddleSchool,G-07,A,IT,F,Father,8,7,30,40
,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,19,19,25,40
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,25,15,12,33
